sentence,verb_number,attractor_num,adjective,template,template_num,subject,attractor,adj_subj,adj_attr
The woman by the window is most definitely amused,SG,SG,amused,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The woman by the window is most definitely dusty,SG,SG,dusty,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The woman by the windows is most definitely amused,SG,PL,amused,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The woman by the windows is most definitely dusty,SG,PL,dusty,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The woman by the window are most definitely amused,PL,SG,amused,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The woman by the window are most definitely dusty,PL,SG,dusty,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The woman by the windows are most definitely amused,PL,PL,amused,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The woman by the windows are most definitely dusty,PL,PL,dusty,The woman by the window was most definitely amused / dusty,1,The woman,window,amused,amused
The flower by the bed is most definitely blooming,SG,SG,blooming,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The flower by the bed is most definitely made,SG,SG,made,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The flower by the beds is most definitely blooming,SG,PL,blooming,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The flower by the beds is most definitely made,SG,PL,made,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The flower by the bed are most definitely blooming,PL,SG,blooming,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The flower by the bed are most definitely made,PL,SG,made,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The flower by the beds are most definitely blooming,PL,PL,blooming,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The flower by the beds are most definitely made,PL,PL,made,The flower by the bed was most definitely blooming / made,2,The flower,bed,blooming,blooming
The notebook for the class is unfortunately rather ripped,SG,SG,ripped,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The notebook for the class is unfortunately rather difficult,SG,SG,difficult,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The notebook for the classs is unfortunately rather ripped,SG,PL,ripped,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The notebook for the classs is unfortunately rather difficult,SG,PL,difficult,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The notebook for the class are unfortunately rather ripped,PL,SG,ripped,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The notebook for the class are unfortunately rather difficult,PL,SG,difficult,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The notebook for the classs are unfortunately rather ripped,PL,PL,ripped,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The notebook for the classs are unfortunately rather difficult,PL,PL,difficult,The notebook for the class was unfortunately rather ripped / difficult,3,The notebook,class,ripped,ripped
The laptop on the magazine is most certainly overheating,SG,SG,overheating,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The laptop on the magazine is most certainly wordy,SG,SG,wordy,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The laptop on the magazines is most certainly overheating,SG,PL,overheating,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The laptop on the magazines is most certainly wordy,SG,PL,wordy,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The laptop on the magazine are most certainly overheating,PL,SG,overheating,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The laptop on the magazine are most certainly wordy,PL,SG,wordy,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The laptop on the magazines are most certainly overheating,PL,PL,overheating,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The laptop on the magazines are most certainly wordy,PL,PL,wordy,The laptop on the magazine was most certainly overheating / wordy,4,The laptop,magazine,overheating,overheating
The jack-o'-lantern near the child is certainly rather carved,SG,SG,carved,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
The jack-o'-lantern near the child is certainly rather upset,SG,SG,upset,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
The jack-o'-lantern near the childs is certainly rather carved,SG,PL,carved,The jack-o'-lantern near the child was certainly rather carved / upset,5,The jack-o'-lantern,child,carved,carved
